Lheap
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time10^3,5,3.5413,2.4062,2.8249,2.5719,2.6633,
10^3,15,2.5358,2.7487,3.4211,2.9359,2.4518,
10^3,25,2.1591,2.3283,2.6955,1.9449,1.9035,
10^3,35,3.6150,2.8936,3.9210,2.1751,3.0850,
10^3,45,2.4223,2.2099,2.3048,2.3007,2.3252,

10^5,5,21.8162,24.9235,17.9624,31.5759,20.1982,
10^5,15,19.7322,21.3543,22.6377,26.5269,29.6791,
10^5,25,17.7651,23.5070,21.5047,26.3493,21.1318,
10^5,35,21.3205,31.2981,17.4573,20.2560,20.6867,
10^5,45,14.6861,26.4941,23.3274,27.9988,21.9300,

10^6,5,50.4596,70.1708,77.7549,55.9615,72.4877,
10^6,15,86.4977,95.0508,74.4402,78.3961,80.2962,
10^6,25,87.5956,94.3287,99.5553,84.8543,81.1195,
10^6,35,95.7130,74.3697,80.8941,66.9856,65.0122,
10^6,45,62.1169,69.9989,57.6040,61.0158,59.6741,



